Id,SalePrice
1461,117521.969190673
1462,170310.972109754
1463,187703.26282721607
1464,200975.84603608894
1465,189475.52126743607
1466,171784.01756543206
1467,181912.2982002135
1468,164342.58307686675
1469,186929.6347352252
1470,123161.14360020678
1471,189172.74851990998
1472,94072.92857884383
1473,93455.02364689998
1474,148134.238042992
1475,113578.00355852375
1476,364904.91727411526
1477,251323.30675219875
1478,286763.2731708393
1479,288835.5042117936
1480,535073.8325837941
1481,330880.45548544644
1482,214376.6369138872
1483,180435.48469267343
1484,166390.04759324866
1485,182113.65768277214
1486,195661.39515342965
1487,349546.10595755983
1488,231579.8971863129
1489,194186.53388638658
1490,245431.8841659985
1491,193115.84757480444
1492,94846.6776406722
1493,184468.73579793406
1494,284444.9952186333
1495,288560.10311733535
1496,243246.83218101627
1497,184650.6694628984
1498,168808.95991512717
1499,161456.5276873914
1500,159887.71349966456
1501,178250.30675364647
1502,145139.31018689004
1503,306243.95627514273
1504,240948.50245436872
1505,225982.07418618206
1506,191865.140240399
1507,254832.6674380849
1508,198032.26846858015
1509,168694.7770174556
1510,142375.95556817026
1511,148123.00294477973
1512,177684.27759583382
1513,144669.0733150333
1514,156605.5352356451
1515,191573.71668996237
1516,155131.84562562636
1517,172318.8508016339
1518,128211.40052238743
1519,210380.38093990067
1520,131248.7981798357
1521,134256.06850233683
1522,177082.37656736243
1523,112761.5015916574
1524,125483.69004585425
1525,126653.39907436616
1526,112413.43444514414
1527,107307.10816058936
1528,136785.78403664075
1529,147282.87577340213
1530,180879.464930007
1531,108631.61657999402
1532,95480.11178696853
1533,151333.0092938407
1534,120474.06339881719
1535,154446.43478124068
1536,107883.84135369197
1537,62544.51524236176
1538,168385.83530825138
1539,191798.74828518764
1540,97652.39511147367
1541,138282.3655611779
1542,133456.52675837357
1543,194979.29544417493
1544,84081.40191594652
1545,111821.91985395971
1546,126140.88186716505
1547,121881.3801876203
1548,130165.0588869473
1549,114999.48341938305
1550,123797.52600691182
1551,106337.28069741238
1552,139337.58027485656
1553,146055.51679741198
1554,121968.23695630133
1555,168285.3326760555
1556,94847.79452782909
1557,108423.29247735158
1558,99848.61493860206
1559,72079.33619545713
1560,136627.9512565288
1561,131101.52417024213
1562,132499.71323953956
1563,119298.4432457222
1564,160359.06751791138
1565,147718.66617942177
1566,250899.11031607067
1567,80252.82070452468
1568,241351.1639993295
1569,127151.86134172004
1570,141551.78137708612
1571,122092.03071119598
1572,144347.72469605115
1573,238062.2258366397
1574,122596.95888397314
1575,236759.01871761717
1576,250231.36601030067
1577,179925.6735636932
1578,151133.93146073626
1579,152941.11094812467
1580,194880.90360452095
1581,165040.31280751902
1582,129874.32803726531
1583,306791.4061578884
1584,218976.54307449103
1585,142202.17701086917
1586,69641.50405172963
1587,103999.1828729383
1588,148190.91874956418
1589,104533.30082355539
1590,135886.50001940242
1591,92796.84102307663
1592,113700.04140906066
1593,124016.80481736043
1594,129707.96301112189
1595,105199.66831916894
1596,209386.72638035618
1597,180141.30424463018
